2025-07-28 16:14:09,807 INFO    MainThread:4172766 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-07-28 16:14:09,808 INFO    MainThread:4172766 [wandb_setup.py:_flush():81] Configure stats pid to 4172766
2025-07-28 16:14:09,808 INFO    MainThread:4172766 [wandb_setup.py:_flush():81] Loading settings from /u/smanor/.config/wandb/settings
2025-07-28 16:14:09,808 INFO    MainThread:4172766 [wandb_setup.py:_flush():81] Loading settings from /u/smanor/PINN-RC/FastInverseProblems/TimeDependentSchrodinger/wandb/settings
2025-07-28 16:14:09,808 INFO    MainThread:4172766 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-07-28 16:14:09,808 INFO    MainThread:4172766 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /u/smanor/PINN-RC/FastInverseProblems/TimeDependentSchrodinger/wandb/run-20250728_161409-js5k4g4j/logs/debug.log
2025-07-28 16:14:09,808 INFO    MainThread:4172766 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /u/smanor/PINN-RC/FastInverseProblems/TimeDependentSchrodinger/wandb/run-20250728_161409-js5k4g4j/logs/debug-internal.log
2025-07-28 16:14:09,808 INFO    MainThread:4172766 [wandb_init.py:init():831] calling init triggers
2025-07-28 16:14:09,808 INFO    MainThread:4172766 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.002, 'epochs': 3200, 'ODE_weight': 0.0005, 'resWidth': 100, 'num_models': 6, 'resDepth': 5, '_wandb': {}}
2025-07-28 16:14:09,808 INFO    MainThread:4172766 [wandb_init.py:init():872] starting backend
2025-07-28 16:14:10,023 INFO    MainThread:4172766 [wandb_init.py:init():875] sending inform_init request
2025-07-28 16:14:10,028 INFO    MainThread:4172766 [wandb_init.py:init():883] backend started and connected
2025-07-28 16:14:10,029 INFO    MainThread:4172766 [wandb_init.py:init():956] updated telemetry
2025-07-28 16:14:10,052 INFO    MainThread:4172766 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-07-28 16:14:10,398 INFO    MainThread:4172766 [wandb_init.py:init():1032] starting run threads in backend
2025-07-28 16:14:10,496 INFO    MainThread:4172766 [wandb_run.py:_console_start():2453] atexit reg
2025-07-28 16:14:10,496 INFO    MainThread:4172766 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-07-28 16:14:10,496 INFO    MainThread:4172766 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-07-28 16:14:10,496 INFO    MainThread:4172766 [wandb_run.py:_redirect():2393] Redirects installed.
2025-07-28 16:14:10,498 INFO    MainThread:4172766 [wandb_init.py:init():1078] run started, returning control to user process
2025-07-28 16:15:09,507 INFO    MsgRouterThr:4172766 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
